,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Walvis Bay,NA,50,-22.95,14.51,87,20,6.93
1,Carnarvon,ZA,43.78,-30.97,22.13,50,0,13.33
2,Kapaa,US,78.69,22.08,-159.32,96,90,16.11
3,Tuktoyaktuk,CA,30.46,69.44,-133.03,100,76,11.21
4,Port Moresby,PG,80.6,-9.47,147.16,69,20,11.41
5,Port Hedland,AU,93.2,-20.31,118.58,36,75,14.99
6,Dikson,RU,41.08,73.51,80.55,85,24,24.63
7,Jiayuguan,CN,58.72,39.77,98.29,24,24,9.31
8,Pevek,RU,43.15,69.7,170.27,89,76,5.84
9,Punta Arenas,CL,35.6,-53.16,-70.91,93,90,2.24
10,Nabire,ID,76.27,-3.36,135.5,90,48,0.81
11,Mar del Plata,AR,49.54,-46.43,-67.52,68,0,12.77
12,Nova Soure,BR,68.71,-11.24,-38.48,96,12,5.73
13,Tavricheskoye,RU,53.6,54.59,73.64,54,40,17.9
14,Ojinaga,US,64.21,29.56,-104.41,60,0,5.95
15,Katsuura,JP,66.47,33.93,134.5,100,75,4.7
16,Hobyo,SO,80.14,5.35,48.53,81,80,11.77
17,Rikitea,PF,72.13,-23.12,-134.97,100,100,9.19
18,Souillac,FR,54.41,45.6,-0.6,76,0,5.82
19,Talcahuano,CL,53.6,-36.72,-73.12,93,90,6.93
20,Sisimiut,GL,31.9,66.94,-53.67,91,92,11.65
21,Kalat,PK,73.03,29.03,66.58,27,0,3.15
22,Peniche,PT,59.43,39.36,-9.38,77,0,11.41
23,Eidsvag,NO,48.2,62.78,8.07,76,75,25.28
24,Barrow,AR,60.16,-38.31,-60.23,98,100,6.4
25,Atar,MR,71.32,20.52,-13.05,46,0,2.82
26,Hambantota,LK,82.39,6.12,81.12,98,48,7.18
27,Roald,NO,47.59,62.58,6.12,87,75,26.4
28,Chokurdakh,RU,34.06,70.62,147.9,92,48,5.06
29,Busselton,AU,61.6,-33.64,115.35,100,100,10.2
30,La Ronge,CA,35.6,55.1,-105.3,64,90,8.05
31,Atuona,PF,79.96,-9.8,-139.03,100,92,6.62
32,Ushuaia,AR,33.8,-54.81,-68.31,100,90,2.93
33,Ketchikan,US,54.52,55.34,-131.65,83,1,8.05
34,Nikolskoye,RU,41,59.7,30.79,86,0,11.18
35,Hilo,US,68.86,19.71,-155.08,90,75,12.1
36,Puerto Ayora,EC,70.24,-0.74,-90.35,100,76,10.42
37,Bluff,AU,88.24,-23.58,149.07,28,0,4.61
38,Tura,IN,86.89,25.52,90.21,87,12,2.82
39,Kodinar,IN,95.62,20.79,70.7,46,0,4.38
40,Zottegem,BE,42.15,50.87,3.81,81,0,6.93
41,Hermanus,ZA,48.28,-34.42,19.24,83,12,4.83
42,Airai,TL,86.26,-8.93,125.41,41,32,1.59
43,Hobart,AU,55.4,-42.88,147.33,62,75,18.34
44,Kulhudhuffushi,MV,79.78,6.62,73.07,100,88,9.53
45,Saskylakh,RU,43.87,71.97,114.09,98,88,10.2
46,Port Alfred,ZA,62.77,-33.59,26.89,90,92,14.45
47,Vaini,IN,84.19,15.34,74.49,74,56,3.6
48,Wagar,US,73.84,31.44,-87.99,93,92,3.27
49,Shahrud,IR,70.96,36.42,54.97,39,0,3.38
50,Yaan,NG,69.7,7.38,8.57,93,36,2.93
51,Ilulissat,GL,33.8,69.22,-51.1,74,36,12.75
52,Bara,NG,74.92,10.41,10.6,86,76,4.16
53,Butaritari,KI,85.9,3.07,172.79,100,64,5.61
54,Hirado,JP,75.2,33.32,129.49,83,75,1.12
55,Cape Town,ZA,59,-33.93,18.42,54,0,14.99
56,Jamestown,AU,60.16,-33.21,138.6,35,0,7.63
57,Bathsheba,BB,80.6,13.22,-59.52,78,20,21.92
58,Whitehorse,CA,35.6,60.72,-135.06,69,5,5.82
59,Nyurba,RU,48.82,63.29,118.35,64,0,5.17
60,Beyneu,KZ,65.92,45.32,55.19,30,24,5.73
61,Thompson,CA,32,55.74,-97.86,91,90,10.29
62,Port Elizabeth,US,56.35,39.31,-74.98,96,1,3.15
63,Mahebourg,MU,77,-20.41,57.7,65,75,16.11
64,Mataura,NZ,51.97,-46.19,168.86,88,92,13.89
65,Henties Bay,NA,54.67,-22.12,14.28,98,0,3.04
66,Cidreira,BR,67.36,-30.17,-50.22,88,24,18.81
67,Saint-Philippe,CA,52.48,45.36,-73.48,94,90,3.36
68,Muyezerskiy,RU,31.09,63.93,31.65,95,8,5.61
69,Mackay,CA,33.8,53.65,-115.58,74,90,4.7
70,Bani Walid,LY,58.72,31.76,14,76,0,7.52
71,Tocopilla,CL,54.58,-22.09,-70.2,100,48,0.36
72,Khorixas,NA,57.19,-20.37,14.96,65,0,3.6
73,Tasiilaq,GL,39.2,65.61,-37.64,38,0,17.22
74,Katangli,RU,59.08,51.71,143.23,69,48,6.17
